,city,PDR1819,PDR1920,HDR1819,HDR1920,RDR1819,RDR1920
0,Salt Lake City ,0.06585676154364258,6.381907292824843,2.0143002002579466,-0.2803636093530503,2.3144552486874286,-0.6393721959073869
1,Miami ,1.1114496163727072,3.9372770924197,1.5198165093649219,5.104836550376062,3.534751209169808,1.1736973923292249
2,Seattle ,1.5412908310710218,3.909112017779546,4.593249392411382,3.0796161713495995,2.3776884897187474,0.6737563678193257
3,Tampa ,0.6212993917911951,3.503627720790593,1.0216587164190405,1.2881111991744787,3.2638063330811726,1.5455004921128883
4,Atlanta ,1.7318937017120215,3.339903830027368,5.193248671130769,2.829788301366002,3.209798331749556,1.773490976975731
5,Dallas ,0.13198668656031218,2.880156121029524,7.4324595633461925,5.322874594203535,1.4559819413092547,0.5444238648481736
6,Columbus ,0.8625286097058041,2.634235264920377,5.370805000913007,8.052238116264972,2.5321956229754217,0.3836845522696417
7,Boston ,0.21023024045535896,2.5404273751082878,5.046979021879047,2.3640176167507403,2.4870829319555208,1.6133548734518
8,Port St. Lucie ,3.612787975853148,2.2611297722025703,1.6221640710347869,4.824968795030008,5.069326464624317,2.8769128409847022
9,Charlotte ,1.5121820394858994,2.2140479706630174,6.844635632145754,2.236695757450095,2.9925351047387343,0.36532822201470544
10,Grand Rapids ,0.4382020226246152,2.127225602324228,4.326878526392103,5.8195542152437865,2.9655118068871364,-0.6410510593864462
11,Washington ,0.5989620082474874,2.116616530806278,-7.08146615141744,4.641335763164412,3.1739517066830896,2.1780588176252134
12,Kansas City ,0.6737640545352552,1.9928249419070636,5.460285430956632,4.912975656430712,4.758402906951598,3.895402012139349
13,San Antonio ,1.1265895258611676,1.989138169387941,5.460285430956632,4.912975656430712,7.311418890804255,5.091534794505086
14,Knoxville ,0.12862800354394166,1.842721065228168,7.665074963057375,6.101412962828651,4.133524579475812,2.199834215392463
15,Minneapolis ,1.106840855442301,1.7371731307290867,1.394698827633165,1.5280066111677195,3.728504848127713,1.9564589406234456
16,Des Moines ,-0.8134485217181958,1.7055877369455326,5.621336387478231,5.568613252661914,3.4079348931841236,1.8962075848303457
17,Madison ,0.7081526755450759,1.6751386321626618,5.6952728099232734,6.856398043321668,2.9308502518699435,2.731997030438017
