,city,PDR1819,PDR1920,HDR1819,HDR1920,RDR1819,RDR1920
0,Salt Lake City ,0.06585676154364258,6.381907292824843,2.3192494916800257,3.3570830762756003,2.3144552486874286,-0.6393721959073869
1,Miami ,1.1114496163727072,3.9372770924197,1.7595874959716398,4.643372975630737,3.534751209169808,1.1736973923292249
2,Seattle ,1.5412908310710218,3.909112017779546,2.225369567141719,5.527680214082626,2.3776884897187474,0.6737563678193257
3,Tampa ,0.6212993917911951,3.503627720790593,2.4065691358964414,4.862629549818967,3.2638063330811726,1.5455004921128883
4,Atlanta ,1.7318937017120215,3.339903830027368,4.091463637948921,4.960131564241354,3.209798331749556,1.773490976975731
5,Dallas ,0.13198668656031218,2.880156121029524,3.5069038242902573,4.043005227427691,1.4559819413092547,0.5444238648481736
6,Columbus ,0.8625286097058041,2.634235264920377,2.121666312691526,4.678032767920408,2.5321956229754217,0.3836845522696417
7,Boston ,0.21023024045535896,2.5404273751082878,3.0131993552790157,7.7344587352626,2.4870829319555208,1.6133548734518
8,Port St. Lucie ,3.612787975853148,2.2611297722025703,5.021957697755641,5.631592820834363,5.069326464624317,2.8769128409847022
9,Charlotte ,1.5121820394858994,2.2140479706630174,2.6971027696793004,7.365865334139497,2.9925351047387343,0.36532822201470544
10,Grand Rapids ,0.4382020226246152,2.127225602324228,-0.9702840685953708,4.431266576590106,2.9655118068871364,-0.6410510593864462
11,Washington ,0.5989620082474874,2.116616530806278,4.909492273730678,5.3083748784999845,3.1739517066830896,2.1780588176252134
12,Kansas City ,0.6737640545352552,1.9928249419070636,2.090283300426601,5.056534196682883,4.758402906951598,3.895402012139349
13,San Antonio ,1.1265895258611676,1.989138169387941,5.869966646395032,6.47687113724849,7.311418890804255,5.091534794505086
14,Knoxville ,0.12862800354394166,1.842721065228168,2.4367215534160285,6.173699076161853,4.133524579475812,2.199834215392463
15,Minneapolis ,1.106840855442301,1.7371731307290867,6.551605983936867,6.2125571352457944,3.728504848127713,1.9564589406234456
16,Des Moines ,-0.8134485217181958,1.7055877369455326,1.5133541823933352,4.539839407041384,3.4079348931841236,1.8962075848303457
17,Madison ,0.7081526755450759,1.6751386321626618,4.064011644935967,5.302949117996233,2.9308502518699435,2.731997030438017
18,Raleigh ,1.0131809406921592,1.6641037486104344,4.149872575776741,6.306190968260246,4.229741763134457,3.2339715108921068
19,San Francisco ,0.09685521451215856,1.644605121212774,2.211962415231102,1.9610705596107052,1.9238517324738205,0.7621760751680491
20,Las Vegas ,1.257874346266021,1.6399030275487128,2.27542618701877,4.585390484211157,3.526496378192913,1.1913170410133214
21,San Diego ,0.13601356478613028,1.6328253447867789,5.353376305211332,3.6749375673013085,3.2351844949683253,2.183820044478465
22,Jacksonville ,1.0050563086398274,1.6307060724711937,2.643860396717974,4.9138226399916585,3.346203346203351,1.8790725867555689
23,Jacksonville ,1.0050563086398274,1.6307060724711937,4.450909684262047,4.585084851315589,4.618726420487019,2.2736159991062004
