,Unnamed: 0,City,State,Average2018,Average2019,Average2020,2018-2019 changing rate,2019-2020 changing rate,Diff in 2018-2020 changing rate
0,149,Salt Lake City,UT,343422.23076923075,372636.0,384241.3,7.839760310536086,3.0203156193777163,-4.8194446911583695
1,92,Hialeah,FL,253026.23076923078,265117.3846153846,266368.7,4.560679362349217,0.4697681764469276,-4.090911185902288
2,89,Jersey City,NJ,470107.07692307705,475416.15384615393,476522.3,1.1167220297682543,0.2321289378998875,-0.8845930918683669
3,105,Irvine,CA,825541.1538461539,826222.5384615384,813541.2,0.08246986540132292,-1.5587825744459585,-1.6412524398472814
4,207,Alexandria,VA,463638.30769230775,483195.2307692308,497195.9,4.047416412986753,2.8159261230370705,-1.231490289949683
5,247,Bellevue,WA,852965.9230769231,830981.8461538461,858318.7,-2.6455544155181108,3.1849304746772766,5.830484890195388
6,110,Garland,TX,179058.0,190811.84615384613,190723.3,6.1599142772138835,-0.04642650050946462,-6.206340777723347
7,139,Glendale,CA,757527.2307692308,768068.5384615384,786395.4,1.3724436250731298,2.3304894126366356,0.9580457875635059
8,185,Clarksville,TN,165156.07692307697,172943.46153846153,180537.5,4.502849975425484,4.206349629045748,-0.29650034637973466
9,55,Tampa,FL,213695.3076923077,225127.23076923078,232594.9,5.077983253230489,3.210590271226589,-1.8673929820038988
10,39,Miami,FL,319543.53846153844,326301.92307692306,323631.4,2.0712058794061687,-0.8251742806547943,-2.896380160060963
11,9,Dallas,TX,196431.46153846156,210864.3076923077,210296.6,6.844613159903053,-0.26995571602569035,-7.114568875928741
12,125,Des Moines,IA,130148.84615384616,136682.84615384616,137103.7,4.780409673826607,0.3069602396972916,-4.473449434129315
13,271,Waco,TX,121005.23076923074,128550.69230769233,133162.8,5.869638975106504,3.463510599287246,-2.406128375819258
14,24,Seattle,WA,684226.7692307692,659164.9230769231,668703.6,-3.8020600424032978,1.426443183957265,5.228503226360564
15,26,Boston,MA,574879.3846153846,588456.8461538461,582079.8,2.3072994438256247,-1.0955621813102052,-3.40286162513583
16,117,Irving,TX,208696.15384615387,222572.46153846156,224419.6,6.23451239043326,0.8230735914057747,-5.4114387990274855
17,161,Salem,OR,251980.15384615387,269225.15384615393,271879.6,6.4054193130313966,0.9763314915301126,-5.429087821501284
18,148,Eugene,OR,280653.84615384607,297153.3076923077,309708.1,5.552508119999191,4.05375006584984,-1.4987580541493497
19,95,Saint Petersburg,FL,172214.46153846153,184904.76923076922,193325.1,6.863158665458559,4.355528986784844,-2.5076296786737147
