,Unnamed: 0,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate,Diff in Pop Rate 2018-2020
158,158,Killeen ,TX,148683,151666,153973,2.006281821055534,1.5211055872773067,-0.4851762337782275
174,174,Virginia Beach ,VA,449849,449974,447841,0.027787101894191164,-0.4740273882490988,-0.5018144901432899
142,142,Memphis ,TN,651104,651073,647374,-0.004761144149014597,-0.5681390566034837,-0.5633779124544691
181,181,Milwaukee ,WI,591375,590157,585589,-0.20596068484464172,-0.774031317090198,-0.5680706322455563
92,92,Shreveport ,LA,189360,187112,183819,-1.187156738487537,-1.7599085039976057,-0.5727517655100687
56,56,Denver ,CO,716265,727211,734134,1.5282053429945621,0.9519933004313742,-0.5762120425631879
48,48,Santa Ana ,CA,331912,332318,330389,0.1223215792137675,-0.5804681058504204,-0.7027896850641879
60,60,Bridgeport ,CT,144772,144399,143010,-0.25764650623048657,-0.961918018822845,-0.7042715125923584
177,177,Spokane ,WA,219332,222081,223266,1.2533510842011197,0.5335890958704257,-0.719761988330694
90,90,Baton Rouge ,LA,222190,220236,216701,-0.8794275169899635,-1.6050963511869087,-0.7256688341969453
137,137,Providence ,RI,179520,179883,178901,0.2022058823529412,-0.5459103973138095,-0.7481162796667508
146,146,Austin ,TX,962469,978908,988218,1.708003062955794,0.951059752295415,-0.7569433106603791
117,117,Rochester ,NY,206004,205695,203792,-0.14999708743519544,-0.9251561778361166,-0.7751590904009211
88,88,Overland Park ,KS,192724,195494,196636,1.4372885577302257,0.5841611507258535,-0.8531274070043722
49,49,Santa Clarita ,CA,213549,212979,210543,-0.26691766292513663,-1.1437747383544856,-0.876857075429349
83,83,Fort Wayne ,IN,267460,270402,270989,1.0999775667389518,0.21708419316425176,-0.8828933735747
118,118,Yonkers ,NY,199883,200370,199021,0.24364253088056514,-0.673254479213455,-0.9168970100940201
143,143,Murfreesboro ,TN,141442,146900,151066,3.85882552565716,2.835942818243703,-1.0228827074134568
130,130,Oklahoma City ,OK,647912,655057,655407,1.1027732161157688,0.053430464829778174,-1.0493427512859907
103,103,St. Louis ,MO,303419,300576,293792,-0.9369881253316371,-2.2569998935377407,-1.3200117682061037
71,71,Port St. Lucie ,FL,194808,201846,206410,3.6127879758531476,2.2611297722025703,-1.3516582036505773
131,131,Tulsa ,OK,400414,401190,396543,0.19379941760278113,-1.1583040454647424,-1.3521034630675235
35,35,Ontario ,CA,180718,185010,186653,2.374970949213692,0.8880601048591967,-1.4869108443544952
171,171,Newport News ,VA,178523,179225,177064,0.3932266430655994,-1.2057469661040592,-1.5989736091696587
136,136,Pittsburgh ,PA,300570,300286,294860,-0.09448714109857936,-1.8069440466755027,-1.7124569055769232
106,106,Omaha ,NE,477299,478192,470702,0.18709446280004777,-1.5663164586609564,-1.753410921461004
84,84,Indianapolis ,IN,880739,886220,875929,0.6223183031522391,-1.1612240752860465,-1.7835423784382858
150,150,Denton ,TX,138315,141541,142173,2.332357300365109,0.4465137310037374,-1.8858435693613713
109,109,North Las Vegas ,NV,245349,251974,253923,2.70023517519941,0.773492503194774,-1.926742672004636
32,32,Moreno Valley ,CA,208889,213055,212992,1.9943606412975312,-0.029569829386778063,-2.0239304706843093
21,21,Fremont ,CA,237811,241110,239525,1.387236082435211,-0.6573763012732777,-2.044612383708489
10,10,Surprise ,AZ,137717,141664,142049,2.8660223501818947,0.2717698215495821,-2.5942525286323126
11,11,Tempe ,AZ,191746,195805,194218,2.1168629332554527,-0.8105002425882893,-2.927363175843742
121,121,Fayetteville ,NC,210748,211657,205646,0.43132081917740617,-2.8399722192037116,-3.271293038381118
163,163,Midland ,TX,142173,146038,145012,2.718518987430806,-0.7025568687601856,-3.4210758561909915
76,76,Columbus ,GA,194169,195769,189296,0.8240244323244184,-3.306447905439574,-4.130472337763992
