,City,State,2018 Population,2019 Population,2020 Population,2018-2019 Population Rate,2019-2020 Population Rate
180,Madison ,WI,257854,259680,264030,0.7081526755450759,1.6751386321626618
123,Raleigh ,NC,469314,474069,481958,1.0131809406921592,1.6641037486104344
105,Lincoln ,NE,286930,289102,293905,0.7569790541246995,1.6613513569605192
31,Modesto ,CA,214389,215196,218758,0.37641856625106695,1.6552352274205842
46,San Francisco ,CA,880696,881549,896047,0.09685521451215856,1.6446051212127741
157,Irving ,TX,241424,239798,243738,-0.6735038769964875,1.6430495667186549
108,Las Vegas ,NV,643228,651319,662000,1.2578743462660207,1.6399030275487128
87,Olathe ,KS,139758,140545,142841,0.563116243792842,1.6336404710235157
45,San Diego ,CA,1421917,1423851,1447100,0.13601356478613028,1.6328253447867789
66,Jacksonville ,FL,902437,911507,926371,1.0050563086398274,1.6307060724711935
55,Colorado Springs ,CO,472567,478221,485946,1.1964441021061563,1.6153619351722321
9,Scottsdale ,AZ,254479,258069,262222,1.4107254429638596,1.6092595391155078
42,Sacramento ,CA,507737,513624,521769,1.1594585385741043,1.5857903836269334
15,Bakersfield ,CA,381714,384145,390233,0.6368642491498872,1.5848182326985902
124,Winston-Salem ,NC,246535,247945,251762,0.5719269069300505,1.5394543144649016
57,Fort Collins ,CO,168324,170243,172862,1.140063211425584,1.5383892436106037
158,Killeen ,TX,148683,151666,153973,2.006281821055534,1.5211055872773067
18,Elk Grove ,CA,172603,174775,177406,1.2583790548252347,1.5053640394793306
69,Orlando ,FL,285903,287442,291739,0.5382944565114742,1.4949102775516452
40,Riverside ,CA,329654,331360,336285,0.5175123007759651,1.4862988894253983
68,Miramar ,FL,140564,141191,143219,0.4460601576506075,1.4363521754219462
133,Portland ,OR,650837,654741,664103,0.5998429714352441,1.429878379389713
51,Stockton ,CA,311628,312697,316996,0.34303721103366835,1.3748133176845316
39,Rancho Cucamonga ,CA,177345,177603,180031,0.14547915080774762,1.3670940243126524
26,Huntington Beach ,CA,200126,199223,201941,-0.45121573408752486,1.3643003066914965
120,Durham ,NC,274557,278993,282737,1.615693644671234,1.3419691533479334
170,Chesapeake ,VA,242359,244835,248106,1.0216249448132728,1.3360017971286786
144,Amarillo ,TX,199183,199371,202028,0.09438556503316047,1.3326913141831058
25,Hayward ,CA,159760,159203,161314,-0.3486479719579369,1.3259800380646094
8,Phoenix ,AZ,1654675,1680992,1703080,1.5904633840482267,1.3139860272981667
22,Fresno ,CA,528814,531576,538195,0.5223008468005764,1.2451653197285055
100,St. Paul ,MN,306960,308096,311895,0.3700807922856398,1.2330572289156627
95,Springfield ,MA,154329,153606,155472,-0.4684796765351943,1.2147962970196478
63,Fort Lauderdale ,FL,182101,182437,184599,0.18451299004398658,1.1850666257392963
1,Huntsville ,AL,198125,200574,202910,1.2360883280757098,1.1646574331668114
47,San Jose ,CA,1028020,1021795,1033670,-0.6055329662847027,1.1621704940814939
179,Vancouver ,WA,182887,184463,186516,0.8617342949471531,1.112960322666334
122,Greensboro ,NC,294518,296710,299946,0.7442669038904244,1.0906272117555862
12,Tucson ,AZ,544858,548073,553871,0.5900619978049326,1.0578882740072948
16,Chula Vista ,CA,270819,274492,277289,1.3562563926460107,1.0189732305495243
104,Springfield ,MO,167539,167882,169552,0.20472845128596925,0.9947463099081498
145,Arlington ,TX,398123,398854,402762,0.18361159742089755,0.9798071474775232
56,Denver ,CO,716265,727211,734134,1.5282053429945621,0.9519933004313742
146,Austin ,TX,962469,978908,988218,1.708003062955794,0.951059752295415
30,Los Angeles ,CA,3977596,3979576,4015940,0.04977881112108923,0.9137656876008902
54,Aurora ,CO,374572,379289,382742,1.2593039522441614,0.9103875936291325
77,Savannah ,GA,145817,144464,145754,-0.9278753506106969,0.8929560305681693
156,Houston ,TX,2318573,2320268,2340890,0.07310531089596921,0.8887766413190201
35,Ontario ,CA,180718,185010,186653,2.374970949213692,0.8880601048591967
44,San Bernardino ,CA,216323,215784,217671,-0.24916444391026382,0.8744855967078189
159,Laredo ,TX,260856,262491,264703,0.6267825926948202,0.8426955590858354
5,Glendale ,AZ,249955,252381,254500,0.9705747034466203,0.8396036151691292
126,Cincinnati ,OH,302277,303940,306487,0.5501576368694938,0.8379943409883529
17,Corona ,CA,168476,169868,171213,0.8262304423181938,0.7917912732239151
37,Palmdale ,CA,156158,155079,156299,-0.6909668412761434,0.7866958131017096
109,North Las Vegas ,NV,245349,251974,253923,2.70023517519941,0.773492503194774
160,Lubbock ,TX,256469,258862,260823,0.9330562368161455,0.7575464919532415
139,Chattanooga ,TN,181918,182799,184143,0.48428412801372045,0.7352337813664188
14,Anaheim ,CA,350698,350365,352911,-0.09495349274874679,0.7266707576384628
161,McAllen ,TX,142530,143268,144279,0.5177857293201431,0.7056704916659687
173,Richmond ,VA,229221,230436,232055,0.5300561466881306,0.7025811939106736
34,Oceanside ,CA,175758,175742,176950,-0.009103426302074443,0.6873712601427092
28,Lancaster ,CA,158622,157601,158627,-0.6436685957811653,0.6510110976453195
80,Joliet ,IL,147730,147344,148227,-0.2612874839233737,0.5992778803344554
88,Overland Park ,KS,192724,195494,196636,1.4372885577302257,0.5841611507258535
151,El Paso ,TX,679875,681728,685575,0.27255010112152966,0.564301304919264
78,Aurora ,IL,199199,197757,198870,-0.7238992163615279,0.5628119358606776
96,Worcester ,MA,185555,185428,186433,-0.06844331869257093,0.5419893435727074
177,Spokane ,WA,219332,222081,223266,1.2533510842011197,0.5335890958704257
147,Brownsville ,TX,182333,182781,183748,0.2457042883076569,0.5290484240703356
33,Oakland ,CA,429056,433031,435224,0.9264524910501193,0.5064302555706174
81,Naperville ,IL,148090,148449,149196,0.2424201499088392,0.5032031202635248
135,Philadelphia ,PA,1583592,1584064,1591800,0.02980565701266488,0.48836410650074746
38,Pomona ,CA,151925,151691,152405,-0.1540233667928254,0.47069371287683515
58,Lakewood ,CO,156682,157935,158660,0.7997089646545231,0.4590496090163675
150,Denton ,TX,138315,141541,142173,2.332357300365109,0.4465137310037374
113,Paterson ,NJ,145594,145233,145871,-0.24794977815019847,0.43929409982579715
164,Pasadena ,TX,152733,151227,151891,-0.9860344522794681,0.4390750328975646
86,Kansas City ,KS,152965,152960,153600,-0.003268721602981074,0.41841004184100417
19,Escondido ,CA,151793,151625,152245,-0.11067704044323519,0.4089035449299258
112,Newark ,NJ,281752,282011,282862,0.0919248133109969,0.30176127881536535
165,Plano ,TX,288747,287677,288539,-0.37056662060558204,0.29964161194673194
125,Akron ,OH,197884,197597,198148,-0.14503446463584727,0.2788503874046671
10,Surprise ,AZ,137717,141664,142049,2.8660223501818947,0.2717698215495821
53,Torrance ,CA,144706,143592,143912,-0.7698367724904289,0.22285364087135776
83,Fort Wayne ,IN,267460,270402,270989,1.0999775667389518,0.21708419316425176
50,Santa Rosa ,CA,176750,176753,177132,0.0016973125884016975,0.2144235175640583
29,Long Beach ,CA,465865,462628,463218,-0.6948364869651079,0.12753227214954566
114,Albuquerque ,NM,559629,560513,561188,0.15796179254470374,0.12042539602114491
43,Salinas ,CA,155647,155465,155619,-0.11693126112292558,0.09905766571253981
130,Oklahoma City ,OK,647912,655057,655407,1.1027732161157688,0.053430464829778174
13,Little Rock ,AR,197484,197312,197371,-0.08709566344615259,0.029901881284463184
79,Chicago ,IL,2701423,2693976,2694240,-0.27566952676422757,0.009799641867633564
91,New Orleans ,LA,391004,390144,390128,-0.2199465990117748,-0.004101049868766404
115,Buffalo ,NY,255781,255284,255244,-0.1943068484367486,-0.015668823741401734
32,Moreno Valley ,CA,208889,213055,212992,1.9943606412975312,-0.029569829386778063
116,New York ,NY,8390081,8336817,8323340,-0.6348448840958747,-0.16165642114970258
52,Sunnyvale ,CA,152807,152703,152427,-0.06805970930651083,-0.18074301094281056
172,Norfolk ,VA,243585,242742,242234,-0.34608042367140834,-0.2092756918868593
0,Birmingham ,AL,210487,209403,208940,-0.5149961755357814,-0.22110475972168497
89,Wichita ,KS,389231,389938,388771,0.18164020851371038,-0.2992783468141089
101,Jackson ,MS,163772,160628,160080,-1.9197420804533132,-0.3411609432975571
148,Corpus Christi ,TX,326307,326586,325406,0.08550230304590462,-0.3613137121615746
82,Rockford ,IL,146307,145609,145020,-0.47707901877558834,-0.40450796310667614
97,Detroit ,MI,672977,670031,667272,-0.43775641663831005,-0.4117719926391466
127,Cleveland ,OH,383214,381009,379233,-0.5753965147411108,-0.4661307213215436
174,Virginia Beach ,VA,449849,449974,447841,0.027787101894191164,-0.4740273882490988
93,Baltimore ,MD,602443,593490,590479,-1.4861156989125943,-0.5073379500918297
137,Providence ,RI,179520,179883,178901,0.2022058823529412,-0.5459103973138095
142,Memphis ,TN,651104,651073,647374,-0.004761144149014597,-0.5681390566034837
48,Santa Ana ,CA,331912,332318,330389,0.1223215792137675,-0.5804681058504204
3,Montgomery ,AL,198899,198525,197282,-0.18803513340941885,-0.6261176174285354
21,Fremont ,CA,237811,241110,239525,1.387236082435211,-0.6573763012732777
118,Yonkers ,NY,199883,200370,199021,0.24364253088056514,-0.673254479213455
163,Midland ,TX,142173,146038,145012,2.718518987430806,-0.7025568687601856
23,Garden Grove ,CA,172195,171644,170328,-0.3199860623130753,-0.7667031763417306
181,Milwaukee ,WI,591375,590157,585589,-0.20596068484464172,-0.774031317090198
129,Toledo ,OH,274864,272779,270651,-0.758556959077944,-0.7801187041524458
11,Tempe ,AZ,191746,195805,194218,2.1168629332554527,-0.8105002425882893
117,Rochester ,NY,206004,205695,203792,-0.14999708743519544,-0.9251561778361166
60,Bridgeport ,CT,144772,144399,143010,-0.25764650623048657,-0.961918018822845
2,Mobile ,AL,189809,188720,186804,-0.5737346490419316,-1.0152607036880035
49,Santa Clarita ,CA,213549,212979,210543,-0.26691766292513663,-1.1437747383544856
131,Tulsa ,OK,400414,401190,396543,0.19379941760278113,-1.1583040454647424
84,Indianapolis ,IN,880739,886220,875929,0.6223183031522391,-1.1612240752860465
171,Newport News ,VA,178523,179225,177064,0.3932266430655994,-1.2057469661040592
106,Omaha ,NE,477299,478192,470702,0.18709446280004777,-1.5663164586609564
90,Baton Rouge ,LA,222190,220236,216701,-0.8794275169899635,-1.6050963511869087
92,Shreveport ,LA,189360,187112,183819,-1.187156738487537,-1.7599085039976057
136,Pittsburgh ,PA,300570,300286,294860,-0.09448714109857936,-1.8069440466755027
103,St. Louis ,MO,303419,300576,293792,-0.9369881253316371,-2.2569998935377407
121,Fayetteville ,NC,210748,211657,205646,0.43132081917740617,-2.8399722192037116
76,Columbus ,GA,194169,195769,189296,0.8240244323244184,-3.306447905439574
