,City,State,2018 Population,2019 Population,2020 Population
126,Cincinnati ,Ohio,302277,303940,"306,487"
127,Cleveland ,Ohio,383214,381009,"379,233"
128,Columbus ,Ohio,890869,898553,"922,223"
129,Toledo ,Ohio,274864,272779,"270,651"
130,Oklahoma City ,Oklahoma,647912,655057,"655,407"
131,Tulsa ,Oklahoma,400414,401190,"396,543"
132,Eugene ,Oregon,170701,172622,"178,329"
133,Portland ,Oregon,650837,654741,"664,103"
134,Salem ,Oregon,172646,174365,"179,944"
135,Philadelphia ,Pennsylvania,1583592,1584064,"1,591,800"
136,Pittsburgh ,Pennsylvania,300570,300286,"294,860"
137,Providence ,Rhode Island,179520,179883,"178,901"
138,Sioux Falls ,South Dakota,180398,183793,"190,519"
139,Chattanooga ,Tennessee,181918,182799,"184,143"
140,Clarksville ,Tennessee,156376,158146,"164,496"
141,Knoxville ,Tennessee,187362,187603,"191,060"
142,Memphis ,Tennessee,651104,651073,"647,374"
143,Murfreesboro ,Tennessee,141442,146900,"151,066"
144,Amarillo ,Texas,199183,199371,"202,028"
145,Arlington ,Texas,398123,398854,"402,762"
146,Austin ,Texas,962469,978908,"988,218"
147,Brownsville ,Texas,182333,182781,"183,748"
148,Corpus Christi ,Texas,326307,326586,"325,406"
149,Dallas ,Texas,1341802,1343573,"1,382,270"
150,Denton ,Texas,138315,141541,"142,173"
151,El Paso ,Texas,679875,681728,"685,575"
152,Fort Worth ,Texas,893216,909585,"932,116"
153,Frisco ,Texas,188452,200490,"215,060"
154,Garland ,Texas,241709,239928,"246,627"
155,Grand Prairie ,Texas,193989,194543,"198,442"
156,Houston ,Texas,2318573,2320268,"2,340,890"
157,Irving ,Texas,241424,239798,"243,738"
158,Killeen ,Texas,148683,151666,"153,973"
159,Laredo ,Texas,260856,262491,"264,703"
160,Lubbock ,Texas,256469,258862,"260,823"
161,McAllen ,Texas,142530,143268,"144,279"
162,McKinney ,Texas,191748,199177,"208,487"
163,Midland ,Texas,142173,146038,"145,012"
164,Pasadena ,Texas,152733,151227,"151,891"
165,Plano ,Texas,288747,287677,"288,539"
166,San Antonio ,Texas,1530016,1547253,"1,578,030"
167,Waco ,Texas,137886,139236,"144,015"
168,Salt Lake City ,Utah,200435,200567,"213,367"
169,Alexandria ,Virginia,159069,159428,"165,748"
170,Chesapeake ,Virginia,242359,244835,"248,106"
171,Newport News ,Virginia,178523,179225,"177,064"
172,Norfolk ,Virginia,243585,242742,"242,234"
173,Richmond ,Virginia,229221,230436,"232,055"
174,Virginia Beach ,Virginia,449849,449974,"447,841"
175,Bellevue ,Washington,147064,148164,"154,647"
176,Seattle ,Washington,742235,753675,"783,137"
177,Spokane ,Washington,219332,222081,"223,266"
178,Tacoma ,Washington,216111,217827,"222,603"
179,Vancouver ,Washington,182887,184463,"186,516"
180,Madison ,Wisconsin,257854,259680,"264,030"
181,Milwaukee ,Wisconsin,591375,590157,"585,589"
