,City,State,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
586,Elko,NV,252925.0,255694.0,257910.0,260160.0,261568.0,263001.0,263989.0,264837.0,265616.0,266460.0,267277.0,267990.0,268567.0,268870.0,268330.0,267678.0,267063.0,266979.0,267082.0,267457.0,267336.0,266817.0,266050.0,265148.0,264370.0,263579.0,263524.0,263329.0,263236.0,262534.0,261686.0
587,Rexburg,ID,224308.0,226404.0,228270.0,230141.0,231913.0,233898.0,235532.0,237652.0,239577.0,241564.0,243142.0,244555.0,246119.0,247455.0,248837.0,250033.0,251324.0,252737.0,254614.0,255868.0,257271.0,258187.0,259384.0,260685.0,261907.0,263272.0,264614.0,266022.0,267302.0,268300.0,269029.0
588,St. Marys,GA,157685.0,158273.0,159215.0,160266.0,160825.0,161051.0,161057.0,161091.0,161364.0,161781.0,162734.0,163602.0,164223.0,164334.0,165011.0,165905.0,166868.0,166878.0,167118.0,167389.0,167791.0,168077.0,168738.0,169511.0,170578.0,171073.0,170993.0,170705.0,170638.0,171450.0,172189.0
589,Ozark,AL,84489.0,84963.0,85469.0,85779.0,86009.0,86268.0,86645.0,86919.0,87048.0,87185.0,87544.0,87897.0,88192.0,88433.0,88529.0,88656.0,88744.0,88976.0,89171.0,89470.0,89857.0,90178.0,90491.0,90772.0,91060.0,91322.0,91691.0,92132.0,92640.0,93019.0,93401.0
590,Amsterdam,NY,109927.0,110361.0,110775.0,111132.0,111406.0,111564.0,111766.0,112096.0,112384.0,112656.0,112926.0,113316.0,113695.0,113940.0,114145.0,114374.0,114691.0,115178.0,115662.0,116133.0,116519.0,116925.0,117321.0,117538.0,117785.0,118112.0,118472.0,118810.0,119119.0,119326.0,119505.0
591,Enterprise,AL,113036.0,113656.0,114010.0,114203.0,114286.0,114704.0,115115.0,115674.0,115961.0,116257.0,116527.0,116886.0,117269.0,117658.0,118062.0,118343.0,118627.0,118911.0,119215.0,119410.0,119831.0,120228.0,120680.0,121018.0,121249.0,121387.0,121620.0,122070.0,122604.0,123032.0,123442.0
592,Paris,TX,105163.0,105663.0,106208.0,106631.0,106893.0,107142.0,107373.0,107766.0,108111.0,108478.0,108644.0,108986.0,109303.0,109840.0,110227.0,110645.0,111087.0,111607.0,112085.0,112557.0,112879.0,113224.0,113431.0,113496.0,113559.0,113685.0,113920.0,114166.0,114447.0,114620.0,114776.0
593,Kerrville,TX,216676.0,217755.0,218931.0,220081.0,221181.0,221453.0,221647.0,221798.0,222381.0,222892.0,223394.0,224289.0,225310.0,226424.0,227628.0,228840.0,230063.0,231312.0,231793.0,232168.0,232018.0,232407.0,232840.0,232971.0,233130.0,233283.0,233401.0,233575.0,233812.0,234420.0,235750.0
594,New Castle,IN,86660.0,87113.0,87543.0,87993.0,88442.0,88852.0,89231.0,89635.0,90089.0,90576.0,91037.0,91532.0,92067.0,92632.0,93182.0,93701.0,94146.0,94492.0,94781.0,95064.0,95285.0,95557.0,95817.0,96001.0,96179.0,96360.0,96555.0,96754.0,96986.0,97299.0,97655.0
595,Sidney,OH,131043.0,131748.0,132328.0,132881.0,133432.0,134000.0,134518.0,134981.0,135605.0,136310.0,137077.0,137812.0,138616.0,139404.0,139968.0,140494.0,140985.0,141707.0,142345.0,143041.0,143467.0,143846.0,144133.0,144415.0,144662.0,144931.0,145421.0,145928.0,146413.0,146663.0,146946.0
