,State,City,2018 Population,2020 Population
151,Tennessee,Chattanooga,,"184,143"
152,Louisiana,Shreveport,,"183,819"
153,Texas,Brownsville,,"183,748"
154,California,Rancho Cucamonga,,"180,031"
155,Oregon,Salem,,"179,944"
156,Oregon,Eugene,,"178,329"
157,California,Elk Grove,,"177,406"
158,California,Santa Rosa,,"177,132"
159,Florida,Pembroke Pines,,"177,058"
160,California,Oceanside,,"176,950"
161,North Carolina,Cary,,"175,102"
162,Colorado,Fort Collins,,"172,862"
163,California,Corona,,"171,213"
164,California,Garden Grove,,"170,328"
165,Missouri,Springfield,,"169,552"
166,Massachusetts,Springfield,,"155,472"
167,Virginia,Alexandria,,"165,748"
168,Puerto Rico,Bayamon,,"165,383"
169,Tennessee,Clarksville,,"164,496"
170,Nevada,Enterprise,,"164,314"
171,California,Hayward,,"161,314"
172,Colorado,Lakewood,,"158,660"
173,Florida,Hollywood,,"158,239"
174,California,Palmdale,,"156,299"
175,California,Salinas,,"155,619"
176,Washington,Bellevue,,"154,647"
177,Texas,Killeen,,"153,973"
178,Georgia,Macon County,,"152,519"
179,California,Sunnyvale,,"152,427"
180,California,Pomona,,"152,405"
181,California,Escondido,,"152,245"
182,Texas,Pasadena,,"151,891"
183,Tennessee,Murfreesboro,,"151,066"
184,Illinois,Naperville,,"149,196"
185,Illinois,Joliet,,"148,227"
186,New Jersey,Paterson,,"145,871"
187,Georgia,Savannah,,"145,754"
188,Illinois,Rockford,,"145,020"
189,Texas,Midland,,"145,012"
190,Texas,McAllen,,"144,279"
191,Texas,Waco,,"144,015"
192,California,Roseville,,"143,921"
193,California,Torrance,,"143,912"
194,Colorado,Thornton,,"143,890"
195,Louisiana,Metairie,,"143,481"
196,Florida,Miramar,,"143,219"
197,Connecticut,Bridgeport,,"143,010"
198,Kansas,Olathe,,"142,841"
199,Texas,Denton,,"142,173"
200,Arizona,Surprise,,"142,049"
