,City,State,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
82,Henderson,NV,334619,335562,337956,340003,341359,341992,343775,347218,351883
83,Lincoln,NE,199026,199427,200209,200793,201867,202916,204713,206868,209324
84,Modesto,CA,312977,315214,317249,318536,321389,323901,327970,331026,335179
85,Reno,NV,389521,390969,392861,394523,396009,396945,399907,404377,409375
86,Spokane,WA,255802,258997,262451,265312,267305,268812,270939,274715,279438
87,Chandler,AZ,340786,343262,346257,350221,353686,356582,359385,363358,368266
88,Lubbock,TX,146580,147204,148085,148933,150157,151393,152705,154026,155626
89,Jersey City,NJ,522934,524073,523821,525107,527333,530248,533450,536897,541271
90,Buffalo,NY,108622,109344,109656,110303,110774,111663,112781,114245,116033
91,Mobile,AL,125764,126581,127334,128300,129213,130149,131133,132283,133866
92,Hialeah,FL,290283,292071,293376,294418,295650,296920,298404,300209,302264
93,San Bernardino,CA,295170,297125,299228,301691,302776,304657,307518,311476,315223
94,Chula Vista,CA,529037,532619,536780,539967,543780,546602,550519,556555,564961
95,Saint Petersburg,FL,205896,208465,211119,212886,214364,216054,218135,221276,224961
96,Pensacola,FL,158430,159751,161067,162364,163290,164114,164708,165185,165989
97,Lawrenceville,GA,233956,234927,235979,237049,238354,239904,241600,243586,246040
98,Madison,WI,279242,280481,281882,283689,285080,286905,288887,291473,294346
99,Winston-Salem,NC,151071,151905,152738,153413,154692,156084,157720,159342,161087
100,Norfolk,VA,207790,208316,209063,210016,211682,213362,214673,216178,217719
101,Glendale,AZ,249409,251480,253816,257086,260141,263000,265695,268937,272802
102,Scottsdale,AZ,506115,509391,513521,519132,524019,528387,532682,538633,545828
103,Fayetteville,NC,126743,127196,127750,128167,128953,129956,131121,132467,133923
104,Boise,ID,332309,336505,340430,344965,348654,352892,356321,360600,365429
105,Irvine,CA,896964,900763,904653,906082,904497,902475,902873,906962,910038
106,Laredo,TX,173952,173307,172878,172160,171569,170915,170458,169809,168783
107,Sarasota,FL,273023,273713,274906,276443,278376,279812,280917,283407,287207
108,Chesapeake,VA,284828,286192,287472,288456,289410,290694,292016,293726,295653
109,Fort Myers,FL,219600,220222,221261,221924,223115,223729,224336,225024,226097
110,Garland,TX,208572,208485,208879,209962,211419,212956,214421,215465,216964
111,Spring,TX,224925,225519,226461,227643,228597,229352,230303,231492,233424
112,Gilbert,AZ,361942,364728,368050,372355,376119,379368,382448,386760,392127
113,North Las Vegas,NV,268136,268926,270927,272621,273764,274313,275721,278385,282084
114,Fremont,CA,1077702,1082354,1085434,1084481,1081114,1079168,1081556,1091259,1101997
115,Santa Clarita,CA,561333,565525,569679,573498,575097,576317,580187,586185,593128
116,Fontana,CA,419536,421676,424145,427156,428378,430308,433641,438646,443680
117,Irving,TX,245491,245472,246174,247467,249079,250664,252211,253162,254359
118,Arlington,VA,731915,734918,737577,740595,743739,747009,750717,752620,754942
119,Springfield,MO,147838,148597,149614,150692,151710,152748,153692,155262,157000
120,Birmingham,AL,65704,66181,66928,67878,68594,69065,69377,70343,71626
121,Greenville,SC,205176,206156,207547,208420,209343,210297,211492,213069,215022
122,Santa Rosa,CA,581656,585922,587697,587165,585518,583127,582551,584870,590826
123,Oxnard,CA,509988,511510,512663,514751,517597,520822,524113,527311,531999
124,Richmond,VA,239216,241612,243505,244647,245184,245861,246978,248177,249656
125,Des Moines,IA,150176,150308,150747,151188,152004,152615,153641,154534,155699
126,Ocala,FL,153982,154379,154943,155960,157203,158375,159179,160089,161044
127,Boca Raton,FL,340054,341896,343518,344833,345438,346656,348780,351828,355926
128,Shreveport,LA,108989,109656,110285,110903,111463,112024,112545,113093,113841
129,Woodbridge,VA,347539,348427,349093,351126,353347,355761,358638,361625,365942
130,Rochester,NY,98966,99641,100412,101332,102068,102461,102591,102683,102733
131,Montgomery,AL,95137,95440,95746,95911,96531,97182,98101,98932,99913
132,Bradenton,FL,245507,245435,246324,247510,249407,250619,251351,252488,254145
133,Corona,CA,502967,503925,504501,506813,510041,513344,517266,522658,529435
134,Oceanside,CA,543297,546767,550677,553226,556404,559015,562571,568293,576315
135,Tacoma,WA,340974,344304,349009,354107,357389,360237,364470,370207,375997
136,Grand Rapids,MI,185080,186246,187610,189126,189657,190948,193015,196671,200324
137,Gainesville,FL,196142,197708,198988,199749,200418,201061,201654,202671,203808
138,Yonkers,NY,530281,533133,534869,535883,536342,538025,541535,545261,549387
139,Glendale,CA,847378,854493,862239,869409,872190,873988,881747,894163,908208
140,Augusta,GA,110776,111462,112219,113373,114754,116352,117823,119407,121054
141,Moreno Valley,CA,347924,349264,350276,352367,355069,357753,360629,364328,368955
142,Akron,OH,74510,75017,75627,76258,76838,77299,77961,78888,79812
143,Aurora,IL,193667,193607,193946,194277,194618,195087,195772,196875,197878
144,Wilmington,NC,251572,253039,254464,255926,257361,258146,259403,260323,261996
145,Huntington Beach,CA,873572,879270,885264,889281,890196,890517,892764,899205,904846
146,Huntsville,AL,178547,181135,183741,186344,188400,190404,192571,195446,198517
147,Amarillo,TX,140348,140671,140993,141550,141791,142091,142173,142618,143295
148,Eugene,OR,334631,337324,339977,342468,344755,345783,347724,350198,354073
149,Salt Lake City,UT,415883,417737,420016,422598,426332,429880,433189,436479,440150
150,Port Saint Lucie,FL,234751,235560,236573,237004,237988,239244,240579,241995,243346
151,Salinas,CA,514387,516585,519242,520997,525209,529258,534065,538363,543963
152,Little Rock,AR,199648,200071,200963,201936,203098,203862,204835,205443,205829
153,Fort Collins,CO,422156,422620,423818,426138,428724,431014,432343,434096,435747
154,Hayward,CA,670514,674854,678242,678748,678173,678746,683351,692444,702173
155,Brownsville,TX,100737,101159,101757,102706,104157,105569,106959,108302,110164
156,Rockford,IL,97250,97294,97352,97576,97838,98327,98856,99187,99958
157,Evansville,IN,132666,133241,133680,134378,135162,136193,137216,138058,139217
158,Worcester,MA,263404,265764,268902,271103,273022,274440,276805,280337,284936
159,Overland Park,KS,316324,317216,318495,320544,322860,325050,327475,329916,332792
160,Lancaster,CA,297535,300216,302878,305322,306615,307712,310144,314000,318484
161,Salem,OR,295225,296740,298125,299645,301112,303151,305265,308043,311329
162,Garden Grove,CA,653628,658326,663011,666152,667000,667595,669779,674758,679091
163,Grand Prairie,TX,223589,224251,225206,226559,227949,229428,230971,232487,234181
164,Beaverton,OR,403091,404340,407390,409477,411625,412735,414755,417503,422225
165,Escondido,CA,532042,535278,539280,542532,546731,549795,553482,559267,567937
166,Providence,RI,235020,237477,239805,241412,243207,245109,247472,250630,254929
167,Fort Lauderdale,FL,334785,336458,337993,340019,342003,343769,344751,346537,348862
168,Ontario,CA,431880,434045,436537,439710,441018,443242,446620,451707,456750
169,Columbus,GA,106746,107323,107874,108403,109352,110201,111002,111448,112209
170,Sioux Falls,SD,224624,225699,226818,227905,228558,229183,229962,231216,232618
171,Charleston,SC,332921,334071,334673,335523,336704,338340,339754,341288,343243
172,Kissimmee,FL,237488,237623,238221,238262,239409,240200,240985,241745,242251
173,Chattanooga,TN,175336,176185,177087,178231,179545,181043,182522,184141,185747
174,Tempe,AZ,304918,307303,310160,314104,317293,319970,322615,326468,331288
175,Murfreesboro,TN,264759,266039,267207,268518,270657,272713,274499,275781,277259
176,Rancho Cucamonga,CA,535629,537834,540451,543859,545014,547093,550697,556400,562399
177,Cape Coral,FL,234353,235160,236531,237459,239115,240149,241303,242637,244530
178,Savannah,GA,182682,183535,184227,185054,186230,187570,188666,189744,190654
179,Fredericksburg,VA,316332,316885,318007,319258,320387,321688,323704,326210,328984
180,Killeen,TX,140888,141680,142583,143436,144415,145383,146431,147724,149114
181,Palmdale,CA,325271,328040,330773,333328,334583,335622,337865,341396,345575
182,Roanoke,VA,166922,167700,168527,169614,170717,172126,173648,175461,177683
183,Newport News,VA,186997,187735,188670,189644,190499,191528,192774,194595,196342
184,El Cajon,CA,517782,520770,524399,527302,530852,533557,537284,542909,550834
185,Clarksville,TN,192622,194093,196398,198349,200555,202362,204626,206897,209288
186,Jackson,MS,46605,46373,46056,45521,45187,44860,44865,45215,45789
187,Elk Grove,CA,455882,458539,462182,464962,466555,467345,470130,475176,481344
188,Peoria,AZ,305408,307453,310061,313476,316572,319367,322223,325955,330373
189,Sugar Land,TX,323428,323427,323736,324785,325886,326562,326844,327517,328196
190,Naperville,IL,391432,392136,392720,392603,392277,392418,393653,395775,398079
191,Fairfax,VA,578532,579744,580402,582792,585118,588892,592595,596877,600334
192,Boynton Beach,FL,261615,262906,263985,264853,265123,265914,267272,269394,272276
193,Topeka,KS,121330,121744,122203,122866,123790,125359,127049,128558,129435
194,McKinney,TX,337471,337775,338723,339597,340768,342324,344275,346830,349229
195,Lafayette,LA,173313,173742,174456,174702,174989,175003,175522,176120,177325
196,Pembroke Pines,FL,313965,315496,316719,318466,320247,321861,322376,323527,325099
197,Edmond,OK,255358,255986,257243,258309,259404,260223,260835,261856,262910
198,Lakeland,FL,174258,175719,177325,178819,179519,180844,182213,184572,187379
199,Pueblo,CO,190204,191821,193514,195305,197096,199154,201390,204032,206652
200,Springfield,MA,175229,176925,177900,178902,179627,181537,183485,185980,188596
201,Odessa,TX,186032,186424,186297,186148,185938,185988,185818,185857,185769
202,Henrico,VA,258523,258917,259906,261610,263959,265652,267124,267998,269342
203,Dayton,OH,60694,61427,62622,63657,64485,65077,65799,66686,67844
204,Midland,TX,268648,268227,267724,267307,266184,264509,262687,261508,259926
205,Lakewood,CO,435687,437722,439804,441584,444259,446137,448916,452476,457166
206,Cumming,GA,354652,354690,355362,357266,360577,363231,365583,367337,370293
207,Alexandria,VA,539741,543146,545967,548933,550723,554747,558788,563275,566432
208,Tyler,TX,163856,165202,166227,167355,168243,169672,171182,173082,175034
209,Pomona,CA,449586,453221,456740,459891,461072,461992,465067,469822,474874
210,Visalia,CA,251634,253627,255257,257408,258957,261278,264664,267951,270963
211,Cypress,TX,271327,271722,272895,274406,275694,276731,278076,279755,282371
212,Round Rock,TX,313794,313646,313653,314870,316322,317928,319721,322166,325520
213,Ann Arbor,MI,381424,381714,381456,382140,382996,384295,385416,387082,389833
214,Whittier,CA,550341,555303,560641,565546,567737,569602,574754,582663,591424
215,Kansas City,KS,115824,116927,117649,118535,119175,119723,119911,120619,121959
216,Sunnyvale,CA,1512300,1528531,1545140,1552333,1556942,1566591,1584408,1613457,1634927
217,Hollywood,FL,284547,285811,287002,288578,290326,291788,292554,293971,295979
218,Las Cruces,NM,177999,178228,179518,180996,182172,183152,184273,186045,188293
219,Edinburg,TX,134738,135570,136445,137195,137988,138817,139623,140721,141894
220,Conroe,TX,245301,246455,246817,247365,247558,247993,248516,249065,250173
221,Lansing,MI,100934,101320,101907,102444,102952,103535,104445,105601,106764
222,South Bend,IN,112967,113568,114395,116171,117530,118917,119651,120425,121510
223,Cary,NC,389634,389811,390725,392525,394149,395451,396880,399088,401815
224,Paterson,NJ,299006,301319,304182,307199,310224,313478,315552,318405,321458
225,Pasadena,TX,160109,160749,161840,163141,164265,165145,166171,167415,169161
226,Beaumont,TX,120208,120920,121526,122498,123722,125049,126115,127027,128215
227,Yuma,AZ,172789,173725,173566,173816,175103,177244,178948,180953,183305
228,Frisco,TX,424277,424731,426038,427324,428747,430344,432454,435011,437596
229,Columbia,MO,200375,201027,202009,203122,204198,205085,206027,207096,208205
230,Syracuse,NY,101280,102259,103392,104543,105641,106842,108344,109925,111818
231,Pasadena,CA,835788,842006,848620,853916,855356,855642,863071,874297,887355
232,Bridgeport,CT,206369,208214,210504,212399,213992,216081,218676,222371,227116
233,Macon,GA,87628,87893,88193,88733,89207,89563,89864,90172,90717
234,Canton,OH,109650,110374,111179,112166,113036,113826,114611,115682,116989
235,Newark,DE,245517,245899,246025,247068,248954,251482,253761,255865,258108
