,City,State,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20
1513,Fort Lee,NJ,556964,558451,557885,557288,556992,557729,556796,554936,554137
1514,Sulphur,LA,232435,232593,232266,231135,228966,227278,225951,225853,224569
1515,East Point,GA,177231,179353,180528,181662,182029,183699,185337,187611,189596
1516,Shrewsbury,MA,432269,434303,437346,439256,439985,440437,442550,446928,452545
1517,Manitowoc,WI,121312,121881,122110,122195,122971,124241,125747,126726,127477
1518,Niles,MI,137656,137729,137707,138225,138993,139602,140160,140519,141012
1519,Oro Valley,AZ,329093,330893,332906,335929,338267,340319,342675,346001,349013
1520,Lemoore,CA,259498,261521,263371,265567,266937,268419,270322,273409,276915
1521,Cedar Falls,IA,192360,192380,192455,192668,193046,193304,193551,193638,193815
1522,Moncks Corner,SC,236407,236484,236748,237470,238619,240098,242051,244448,246401
1523,Tucker,GA,255542,256742,258336,259752,261050,262759,264877,267556,270632
1524,Buffalo Grove,IL,315211,315409,315797,315651,315235,314954,315582,317059,319299
1525,Sykesville,MD,402357,403495,404071,405152,406325,408458,411608,414796,418441
1526,Wildwood,MO,390126,390467,390300,391415,393063,396398,400580,405334,410055
1527,Ewing Township,NJ,171272,171915,172346,172839,172865,173328,174377,175416,176782
1528,Lake Worth,FL,217471,219236,221029,222416,223060,224047,225267,227193,229660
1529,Lewiston,ME,157510,158964,160650,162193,164061,165269,166858,168762,171366
1530,Grovetown,GA,196969,198095,199555,200773,202035,203295,204535,206031,207512
1531,Waycross,GA,77902,78172,78397,78548,78641,78725,78839,78929,79080
1532,Menomonee Falls,WI,271411,272305,273741,275167,277002,278005,279281,280478,281777
1533,Cape Girardeau,MO,146580,146036,144936,144063,143680,143700,143621,143794,144223
1534,Town Of Clifton Park,NY,293767,294318,296080,297732,297943,297182,297741,300209,303709
1535,Belleville,NJ,320647,321370,322916,325726,329588,332777,335106,338589,344231
1536,San Juan Capistrano,CA,798624,802502,806342,808342,808511,808635,811093,817239,822412
1537,Havertown,PA,357678,359174,361237,364206,366517,368835,371371,373738,377536
1538,Sonoma,CA,768102,774501,776378,774613,770980,768869,770265,777022,789661
1539,Richfield,MN,273965,274727,275899,277637,279696,281875,284314,286805,288700
1540,Hampton,GA,196071,197475,198370,199360,200663,202419,204242,205759,207514
1541,Avon,IN,235279,236254,237740,239361,241061,242181,243451,244950,246666
1542,Wildomar,CA,421907,422951,423777,425870,428677,431591,435170,440035,446161
1543,Oakville,MO,248071,248326,247985,248762,249724,252445,255696,259302,262187
1544,East Stroudsburg,PA,172592,173777,174932,176071,177301,178991,181094,183546,186539
1545,Boardman,OH,117562,117975,118377,118995,119658,120424,121325,123008,124695
1546,Pearl City,HI,737620,736946,735915,736161,737755,739842,739590,739782,742474
1547,San Juan,TX,114487,115221,116099,116858,117415,117916,118559,119423,120175
1548,Reidsville,NC,116529,117157,118005,118490,119412,120329,121475,122307,123160
1549,Pahrump,NV,249914,250849,251878,252544,253383,254102,255014,256170,257128
1550,West Hollywood,CA,860544,866249,871814,876818,878259,879082,887413,897009,906839
1551,Alliance,OH,102293,102926,103648,104329,104947,105510,106130,107009,107965
1552,Winona,MN,176228,176226,176203,176101,176353,176578,176834,176833,176819
1553,Calumet City,IL,101953,101873,101675,101626,102441,103228,104516,106313,108753
1554,West Chicago,IL,237939,238548,238905,238959,238705,238971,239934,241587,243276
1555,Rockwall,TX,306927,308101,309389,311030,312003,312649,313696,315198,317319
1556,Bell,CA,461867,466923,471404,475185,477235,479440,483371,489444,494678
1557,Santa Paula,CA,459390,459599,460518,462456,465143,467655,471691,476554,483571
1558,Redmond,OR,329681,332913,334999,338141,339875,341930,343466,345933,349228
1559,Poplar Bluff,MO,116445,116649,116593,116426,116171,116057,116076,116024,115987
1560,Pineville,LA,147412,147653,147290,147341,147607,147966,148452,148635,148823
1561,Athens,OH,171143,171351,171445,171673,171954,172296,172525,172571,172647
1562,Halethorpe,MD,223481,223315,224139,225371,226923,228307,229711,231486,234113
1563,Placerville,CA,388580,387890,388307,390207,392244,395479,399992,406970,416422
1564,Natick,MA,608027,609174,611221,613149,614202,615368,618438,624889,632346
1565,Temple City,CA,742893,748399,754241,758771,759510,759520,766720,777390,788260
1566,Cabot,AR,152634,152848,153158,153619,153849,154092,154583,155312,156240
1567,Roseville,MN,284568,286358,288459,290827,291903,293741,295849,299600,303693
1568,Franklin,WI,265720,267494,268625,269794,271956,275188,278218,282054,285943
1569,Winchester,KY,148014,148077,148039,148156,148128,148125,148151,148458,148716
1570,Torrington,CT,150179,150891,151640,152617,154027,155881,158227,161251,165051
1571,University,FL,88154,88685,89413,89782,90093,90720,91371,92404,93435
1572,Commerce,MI,296466,296958,299442,301819,303768,303382,303663,305449,309099
1573,La Vergne,TN,219211,219972,220686,221437,222446,224036,225682,227253,228411
1574,Kearns,UT,285039,286275,288206,290585,293567,296329,299273,302706,306589
1575,Batavia,OH,198825,199313,199841,200475,201317,202235,203380,205115,207409
1576,Troy,OH,178253,179444,180402,181297,182651,184267,185951,187392,188367
1577,New Lenox,IL,297820,298542,299734,300372,301035,300853,301502,302237,304148
1578,Andover,MA,636660,635687,637245,640904,647054,652191,658223,663527,668970
1579,Cottage Grove,MN,286809,288228,290268,292464,293774,293955,294662,295815,297740
1580,Chelmsford,MA,442648,443595,446047,447828,450379,451618,454214,458330,462676
1581,Seneca,SC,175060,175427,175956,176813,177706,178864,179767,180883,181938
1582,Shelbyville,TN,164212,165400,166553,167978,168723,169906,170607,171409,171926
1583,Reisterstown,MD,291737,292257,292827,293691,295138,297050,299136,301746,305195
1584,Villa Rica,GA,185748,187151,188969,190745,192474,194019,195501,197197,199432
1585,Bettendorf,IA,226337,227345,228544,229772,230711,231455,232482,233389,233931
1586,Hudsonville,MI,279231,279876,281559,283566,285328,286079,287307,289190,291814
1587,Coventry,RI,274134,275564,276232,278133,279940,282625,283881,285287,287802
1588,Staunton,VA,184168,184396,184649,184862,185211,185661,186173,186517,186718
1589,Calexico,CA,227762,230489,233092,234377,235619,237988,241704,247338,254887
1590,Battle Ground,WA,424805,427872,431088,433612,435830,439792,443610,448055,451902
1591,South Miami Heights,FL,292117,293859,295150,296447,298223,300025,302048,304120,306404
1592,Clover,SC,253524,256050,258774,261802,265394,269240,272711,276145,278768
1593,Shelby,NC,112886,113204,113678,114161,114377,114500,114094,114168,115154
1594,Pickerington,OH,266732,268039,269770,271589,273606,275884,278284,280843,283671
1595,Mableton,GA,233692,235444,236886,238794,239925,241639,243300,245087,246455
1596,University City,MO,188922,189023,188721,189183,189701,191318,193425,196349,198764
1597,Greenville,TX,137969,138568,139616,140853,142200,143496,145232,147077,149492
1598,Los Gatos,CA,1949574,1966711,1980703,1984664,1975849,1972058,1977708,2004764,2024636
1599,Stow,OH,194946,195807,196970,197938,199268,200066,201249,202527,203983
1600,Barstow,CA,147064,147814,148899,150177,150917,151928,153576,155684,157713
1601,Oak Creek,WI,245938,247074,247408,248128,249797,252811,255723,259434,262970
1602,Royal Palm Beach,FL,299674,301150,302432,303537,304203,305362,307289,309972,313746
1603,Thomasville,GA,141089,141207,141410,141698,141866,142064,142190,142213,142270
1604,Rubidoux,CA,389885,391463,392587,395038,397982,401220,404743,409855,415932
1605,Moultrie,GA,88023,88155,88281,88407,88499,88503,88505,88381,88328
1606,Glastonbury,CT,328412,328533,329864,330683,331881,331456,332833,334662,337404
1607,Lorton,VA,494738,495993,496710,499136,501392,505035,508612,513233,517095
1608,Hagerstown,MD,145657,146773,147717,148450,148969,149334,149937,151083,152916
1609,Beverly Hills,CA,3317297,3365763,3410940,3441882,3450352,3451822,3455273,3465754,3483646
1610,Upper Arlington,OH,439124,443112,446209,448678,449621,451076,453369,457166,461408
1611,Pleasant Hill,CA,708105,707409,709877,715275,716933,718993,727220,742593,759007
1612,Shelton,WA,268531,270738,272765,274712,276197,277707,279896,282555,285578
1613,Powell,OH,406334,408483,410965,413717,414737,415370,415621,417349,419730
1614,Dartmouth,MA,394944,396749,398091,399166,400605,402438,405427,408905,413653
1615,Oak Harbor,WA,345441,347735,349869,351851,354335,357557,361270,365398,370034
1616,Galesburg,IL,72694,72718,72714,72720,72579,72410,72104,71828,71525
1617,Portage,IN,177716,178708,179705,180724,181510,182476,183371,184784,186217
1618,Marysville,CA,266951,268219,269856,271638,273585,275375,278060,280490,284284
1619,Garden City,KS,172668,172999,173278,173714,174103,174531,174931,175448,175959
1620,Madison,MS,276021,276787,277148,277545,278246,279005,279734,280757,282136
1621,Town Of Carmel,NY,409727,410864,411998,411357,409534,408868,409495,411390,413780
1622,Paris,TX,93973,93988,94003,94086,94240,94402,94575,94681,94777
1623,Gurnee,IL,242102,242814,243392,243416,243400,243702,244908,246630,248892
1624,Mount Vernon,VA,454180,455823,457052,459866,462526,466222,470127,474958,479257
1625,Big Spring,TX,103896,103972,104007,104141,104303,104435,104437,104806,105233
1626,Sapulpa,OK,118211,118534,118904,119785,121067,122337,122988,123257,123099
1627,Inver Grove Heights,MN,291447,293176,294686,295860,296524,296411,297285,299224,301564
1628,Randolph,MA,387521,389720,392362,394871,397856,399101,402136,405683,411941
1629,Lewiston,ID,252640,253290,253845,253931,254195,254543,255413,255948,256369
1630,Sand Springs,OK,144510,145160,145804,146624,147593,148440,149440,150483,151879
1631,Leander,TX,318988,318356,318082,318953,320322,321902,324064,326699,330244
1632,Manhattan Beach,CA,2543787,2572617,2598940,2621668,2622321,2620998,2624275,2639541,2656381
1633,Watertown,MA,619733,619414,621528,622252,624536,625035,628138,634185,640368
1634,Cumberland,RI,315703,318010,319775,320877,321863,322891,324499,327209,330810
1635,Elizabethton,TN,116163,116605,116870,117107,117159,117145,116854,116286,115766
1636,Sanger,CA,266987,268011,269295,271135,273021,274293,276442,279377,283526
1637,Bay City,MI,68070,68385,68486,68688,68587,68537,68455,68707,69232
1638,Marysville,OH,250310,250755,251506,252782,253878,255288,256316,257503,258757
1639,Paine Field-Lake Stickney,WA,386051,389287,392371,396021,398409,400795,403534,408532,414689
1640,Severn,MD,373558,374461,375485,375988,376584,377929,379956,383275,386382
1641,Greater Carrollwood,FL,248917,250146,251537,253016,254514,256447,258322,260899,263355
1642,Dana Point,CA,1049039,1054103,1058919,1059985,1059828,1059779,1063006,1069909,1075424
1643,Rexburg,ID,259817,261034,262042,263288,264742,266496,268229,269560,271012
1644,Wausau,WI,151459,152070,152609,153158,153545,154185,154948,155988,156880
1645,Pullman,WA,336555,337158,337762,338276,338994,339802,340564,341386,342077
1646,Shingle Springs,CA,479261,479491,480865,484111,486776,490799,495620,503010,512366
1647,Ridgecrest,CA,197328,197870,199242,200632,201721,202936,206057,209359,213418
1648,Leawood,KS,506848,507675,509471,512648,516879,520835,524865,528644,532657
1649,Flowery Branch,GA,255352,256578,258155,259397,260964,262364,263779,265034,266653
1650,Chatsworth,GA,139244,139774,140247,140694,140906,141096,141294,141369,141492
1651,Immokalee,FL,183300,183150,183557,184279,185508,187341,188929,190671,193422
1652,Cooper City,FL,404261,406355,408027,410376,413123,415523,416498,418360,421042
1653,Galt,CA,395059,397247,400512,403051,404638,405598,408452,413426,419635
1654,Adelanto,CA,233915,234938,236213,237872,238615,239825,241617,244418,247224
1655,Golden Glades,FL,269625,272575,274708,276880,278740,281117,284256,288039,292573
1656,Warsaw,IN,177579,178434,179448,180392,180921,181166,181506,182179,183052
1657,San Dimas,CA,627987,632499,637044,641195,643034,644059,647849,654100,661872
1658,Orion,MI,297668,298093,299053,299880,299679,298401,297351,298026,300543
1659,Marana,AZ,285426,286660,288147,290724,292722,294513,296476,299449,302641
1660,Tarpon Springs,FL,251536,253346,255515,257379,258654,259851,261127,263591,266535
1661,La Verne,CA,653850,658322,662714,667077,669134,670360,674796,681876,690909
1662,Pleasant Grove,UT,342227,344648,347480,349768,352317,354748,357810,361330,365255
1663,Albertville,AL,111864,112282,112857,114006,115717,117537,119515,121722,123986
1664,Newburgh,IN,205129,206982,208206,210096,211568,213254,214572,216008,217881
1665,Durango,CO,464709,460041,456762,453653,455785,457480,460791,463060,466636
1666,Eagle,ID,522972,529234,534895,541314,546256,552665,557648,564444,571715
1667,Ravenna,OH,142545,143557,144514,145244,145943,146542,147208,148040,149360
1668,Farmingdale,NY,470120,470830,471844,472872,474695,476171,479747,482604,488351
1669,Butte,MT,145504,145924,146390,146703,147322,147883,148540,148961,149412
1670,Mercedes,TX,82411,83869,84596,84844,85523,86495,87471,88260,89580
1671,Fair Lawn,NJ,441690,444146,445123,446681,447753,450126,452101,453665,456658
1672,Spotsylvania,VA,289522,290387,292129,293305,294011,294836,296540,298773,301559
1673,Derry,NH,309245,311845,314885,317899,319465,320737,322539,325734,329387
1674,El Mirage,AZ,213183,215162,217610,220634,223493,226178,228689,231636,234845
1675,Oakdale,CA,406810,409400,411900,413592,417146,420434,425731,429675,435253
1676,Banning,CA,265728,265961,265964,266712,268112,269672,271357,273633,276748
1677,Marion,OH,66541,66275,66223,66257,66398,66711,66968,67203,67417
1678,Tehachapi,CA,281128,281852,283717,286077,287752,289239,292290,295615,299476
1679,Elk Grove Village,IL,282687,283094,283761,284241,284979,285987,287897,290503,293927
1680,Gadsden,AL,38101,38554,38905,39128,39539,40371,41291,41920,42171
1681,Reedley,CA,241946,243184,244654,246654,247833,248780,250061,252732,256241
1682,Montrose,CO,290857,291565,292275,292962,293399,293887,294375,294899,295524
1683,Lawndale,CA,600646,604370,608767,612911,613953,613898,616463,622507,629569
1684,Los Altos,CA,3011754,3046769,3080652,3093477,3101864,3123403,3161562,3222631,3267013
1685,Princeton,WV,83769,83900,84026,84049,84059,84068,84145,84266,84380
1686,Dunedin,FL,243771,245642,247584,250041,251741,253440,255143,257967,261424
1687,Lexington,MA,1054612,1057039,1060273,1061775,1061363,1061522,1063982,1071580,1080509
1688,Norristown,PA,206355,206870,207080,206987,207960,209888,211945,213539,214968
1689,Franklin,IN,163542,164600,166072,167708,168960,170131,171188,172661,174241
1690,Jasper,AL,116489,116850,117223,117638,118084,118597,119114,119682,120329
1691,Gainesville,VA,500222,501200,501862,504280,506843,509997,513889,518104,523970
1692,Sahuarita,AZ,235048,236338,237766,240089,241967,243700,245475,247802,250311
1693,Merrick,NY,571709,572278,573067,573796,575516,578053,582277,586075,592298
1694,Collinsville,IL,127061,127315,127956,129021,130296,131631,132881,134075,135201
1695,Plainfield,IN,217872,218846,220244,221990,223687,224876,226325,228065,229941
1696,Foster City,CA,1582927,1588001,1597107,1596428,1586875,1580965,1580463,1593664,1595837
1697,Westwego,LA,128155,129453,130425,130960,130967,131020,131239,131663,132599
1698,Sylvania,OH,217534,218724,220132,221779,222858,223801,224675,226557,229016
1699,Ken Caryl,CO,432211,434009,435842,437191,439732,441384,444151,447380,451557
1700,Bellmore,NY,542010,542674,542964,543506,545507,547868,551759,554828,560827
1701,Franklin,MA,452926,455153,456291,457206,459211,460112,462783,465367,470656
1702,Somerton,AZ,154565,155484,155304,155571,156878,159212,161145,163200,165415
1703,Cottonwood Heights,UT,494137,495898,498387,501659,506037,510884,515099,519867,524869
1704,Chillum,MD,339184,341498,342886,344170,346821,349791,353349,355653,358327
1705,South Lyon,MI,353958,354520,356767,358841,360314,360042,360825,362637,366097
1706,Carbondale,IL,129683,129579,129449,129325,129044,128741,128359,127856,127129
1707,Fairhope,AL,290411,291429,292994,294787,296856,299006,300886,303066,305764
1708,Riviera Beach,FL,229708,230973,232159,233242,234095,235213,236673,238599,241189
1709,Eustis,FL,210626,211579,212995,214587,215969,216664,217725,218965,221016
1710,Van Buren,AR,116821,117125,117425,117697,117763,117794,117820,117871,117985
1711,Rome,NY,110405,111116,111784,112411,112684,113248,113773,114721,115652
1712,Milford,OH,206823,207330,207888,208769,209819,211105,212472,214304,216450
1713,Watertown,WI,193968,194399,195164,196125,197698,199194,200987,202615,204590
1714,Odenton,MD,329744,330554,331233,331270,331559,332657,334420,337154,339370
1715,Granite City,IL,68098,68122,68539,69168,69834,70365,70778,71240,71686
1716,Saint Charles,IL,303206,302082,302303,303020,303978,305070,306179,307964,309399
1717,Eastpointe,MI,97244,97763,98642,99380,99979,100315,101042,102619,104414
1718,Belvidere,IL,152306,152544,152714,152738,152499,151820,151103,150580,150783
1719,Bangor,ME,155569,156387,157742,158438,159576,160178,161065,162207,163793
1720,Gallup,NM,153372,153861,154356,154915,155566,156299,156982,157644,158426
1721,Wisconsin Rapids,WI,102033,102194,102351,102468,102546,102613,102699,102828,102991
1722,Lauderdale Lakes,FL,101751,102520,103093,103759,104345,104939,105156,105710,106274
1723,Pikesville,MD,315566,314841,315108,315881,317204,318472,319874,321863,324800
1724,Burlington Township,NJ,218820,219566,220102,221050,221791,222979,223949,226337,229517
1725,Gahanna,OH,249588,251629,253086,254315,255084,256244,257978,260606,263392
1726,Irmo,SC,181392,181972,182773,183540,184674,185924,187504,189088,190818
1727,Farmers Branch,TX,266718,267350,268562,269892,271436,272696,274204,275480,277558
1728,Randallstown,MD,261000,261264,262013,263107,264452,265192,266305,268312,271803
1729,Dover,DE,189662,190750,191723,192950,194008,195046,196181,197677,199431
1730,North Ridgeville,OH,209252,210720,212045,213178,213595,214416,215632,217810,219734
1731,Westlake,OH,263488,264812,265977,267535,269072,271090,272832,275999,279852
1732,Elkridge,MD,355900,357462,358636,358921,359027,358966,360031,361709,363809
1733,Mc Minnville,TN,119163,121155,123188,125432,127012,128536,129701,131477,133257
1734,Atlantic City,NJ,106265,107030,107382,107784,108805,110060,111368,112630,114640
1735,West Fargo,ND,273833,273849,274058,275088,276443,277947,278858,279494,279934
1736,Baldwin,NY,468885,470270,470760,471676,473443,475038,477627,479577,484510
1737,North Providence,RI,243738,244974,246198,247465,248950,250381,252086,254757,258587
1738,Matthews,NC,296954,298799,300487,302471,304566,307238,310132,313049,316413
1739,Sherwood,AR,151437,151652,152306,153010,153716,154302,155169,155978,156786
1740,Davison,MI,173991,174405,175016,175765,176530,176760,176941,177845,179555
1741,Dayton,TX,194189,194552,194791,194992,195216,195477,195732,195927,196366
1742,Prior Lake,MN,394462,396291,398260,399825,401126,402306,404228,405619,406700
1743,Chaska,MN,345267,345467,346935,348906,351132,352515,353355,355144,357107
1744,West Bend,WI,197889,198788,200473,202270,203417,204088,205227,206952,208751
1745,Dinuba,CA,228010,229761,230920,232430,233428,235204,238458,240993,242836
1746,Richmond West,FL,352961,355111,356730,358088,359617,361171,363147,365329,367944
1747,Atascadero,CA,547339,551225,554070,556026,555702,557867,562146,566815,571314
1748,Bethel Park,PA,219294,220160,221373,222886,223251,224103,225715,228955,232576
1749,Westmont,CA,502031,508573,515180,520896,524278,527027,532591,541200,550354
1750,Culpeper,VA,285161,285758,288304,289688,290583,292020,293668,294737,294173
1751,Denison,TX,147284,148305,149428,150558,151653,152903,154118,155685,156374
1752,Neptune Township,NJ,337348,339003,341469,343563,345263,347398,350236,355201,361277
1753,University Place,WA,433915,437318,442331,448172,451638,454672,459561,466287,473045
1754,La Porte,TX,183784,184170,185137,186302,187224,187858,188652,189650,191150
1755,Peachtree City,GA,350414,352001,353059,353365,354912,356503,358408,359469,360036
1756,Canton,MS,137683,138393,139625,140287,141213,141173,142275,143464,144767
1757,Saratoga,CA,2615379,2645142,2674648,2690756,2707057,2733088,2771308,2825282,2869954
1758,Pearl,MS,134924,135126,135567,135920,136482,137251,138147,139314,140400
1759,Boone,NC,276270,277499,278837,279644,279582,280637,282761,285859,288353
1760,Andover,MN,325527,326942,329423,332113,333987,335607,337272,340177,344103
1761,Hope Mills,NC,161009,161499,162028,162221,162816,163653,164839,166188,167710
1762,Winchester,CA,455788,456672,457449,459474,462611,465939,470079,475666,482547
1763,Florence,AZ,221689,223101,225303,227499,229216,230817,233620,236622,239830
1764,North Huntingdon Township,PA,245987,246197,246698,247718,249007,250021,250807,252184,254693
1765,Marshalltown,IA,109807,109722,109623,109671,109672,109667,109636,109577,109456
1766,Deer Park,TX,200963,201199,201933,202931,203660,204273,205109,206386,208247
1767,North Olmsted,OH,174425,175200,176012,177711,179255,181005,182436,184922,187947
1768,Rolla,MO,146678,146891,147289,147728,148185,148403,148669,148831,149177
1769,Town Of Clarence,NY,355626,355992,355832,356341,356076,356705,358259,360946,364649
1770,Niles,IL,323916,323304,322825,322552,321894,321870,322524,324027,325988
1771,Franklin Square,NY,551941,552208,552747,553773,555619,557469,560415,563229,568417
1772,Princeton,NJ,624696,625113,624619,625669,623604,625792,628857,635978,642681
1773,Sedalia,MO,97582,98293,99144,99595,99894,100179,100412,100846,101379
1774,Camas,WA,503181,506928,510324,512968,515296,519769,523911,528923,533351
1775,Waynesboro,VA,191098,191388,191657,191880,192235,192529,192868,193043,193261
1776,Aberdeen,SD,171771,172148,172597,173104,173204,173133,172987,173020,172919
1777,Midvale,UT,339617,340892,342727,345016,348539,352159,355777,359591,363756
1778,Ukiah,CA,415301,415590,418930,421412,425434,430548,437781,446461,456692
1779,Naugatuck,CT,202221,203438,204716,205664,206510,207497,209386,212132,215598
1780,Keizer,OR,318773,320509,322115,323597,324907,326783,329030,331927,335315
1781,Poinciana,FL,198361,198854,199535,199896,200546,201236,201808,202602,203488
1782,Security-Widefield,CO,258597,260811,263765,266890,269999,272213,274470,276787,279848
1783,Natchez,MS,90403,90358,90353,90304,90323,90619,90941,91626,91620
1784,Channelview,TX,157107,157422,158123,159042,159913,160414,161119,162255,164029
1785,Martinsville,VA,77322,77393,77455,77480,77536,77590,77733,77793,77839
1786,Willingboro Township,NJ,168841,170119,171622,173169,174247,176122,177378,179559,181753
1787,Maple Valley,WA,500217,504673,509186,513854,517436,522010,527236,534308,541931
1788,Glendale Heights,IL,213587,214348,215269,215691,215748,216196,217741,219813,221892
1789,Mebane,NC,210784,211528,212097,213078,213781,214802,215571,217115,218776
1790,Bessemer,AL,52127,52692,53408,54713,55792,56866,57440,57820,58335
1791,Garfield,NJ,355633,358330,359285,361394,363699,366874,368819,370570,373043
1792,Orangevale,CA,409386,411939,415678,418498,420036,421037,423755,428347,433756
1793,Alabaster,AL,199972,201301,202502,203165,203815,204575,205531,206812,208278
1794,Vestavia Hills,AL,394035,395197,397627,400532,402783,403021,401899,402752,404561
1795,Frontier,ND,373746,372581,372005,374303,375281,374275,371003,369675,369073
1796,West Little River,FL,246390,249288,251248,252758,254053,255040,256338,257803,259961
1797,Burlingame,CA,2303825,2319094,2334173,2331355,2309507,2292952,2285957,2303891,2309124
1798,Parkville,MD,199057,199106,200113,201309,202893,204602,206725,209228,212499
1799,Coram,NY,336051,338833,340767,342447,343765,345793,348467,351731,355658
1800,Montgomery Village,MD,278345,278605,279955,281416,282624,283309,284767,286418,288718
1801,Hartsville,SC,101763,102051,102327,103248,104130,104952,105040,104859,104645
1802,Wantagh,NY,524085,524401,524953,525816,527714,530154,533903,536950,542449
1803,Edwardsville,IL,214070,214724,215525,216931,218226,219377,220431,221615,223116
1804,North Tonawanda,NY,170392,170963,171445,172480,173311,174320,175499,177118,178825
1805,Carpentersville,IL,175638,175500,176051,176904,177723,178272,178744,179727,180731
1806,Seaside,CA,563508,564941,567610,570157,575757,580434,586951,592861,600636
1807,Dracut,MA,370113,372231,375013,377356,379166,380787,383924,388582,393499
1808,Westfield,IN,309105,310748,312215,313542,314661,316155,318134,320447,322159
1809,Galloway Township,NJ,111357,111867,112365,113164,114211,115550,117050,118855,121287
1810,Rockaway Township,NJ,348955,348141,348496,348258,348470,348952,350927,354111,357171
1811,Brooklyn Center,MN,229524,230698,231691,233020,234627,236738,238792,240701,242204
1812,Lufkin,TX,109438,109514,109594,109574,109406,109303,109300,109367,109600
1813,White Lake,MI,281988,282839,285479,288192,290169,289862,289851,291457,294793
1814,Muscatine,IA,131001,131165,131316,131172,130992,130851,130877,130815,130629
1815,Dover,NH,315284,316467,316142,316950,317617,319633,322062,325882,330273
1816,Murray,KY,142605,142373,142148,141892,141812,141577,141351,141365,141421
1817,Newington,CT,222069,222477,223397,224088,225519,226442,228248,230340,232609
1818,Socorro,TX,112259,112689,113050,113538,114148,114628,115313,116257,117813
1819,Menasha,WI,153079,154083,155204,155904,156487,157240,158649,160397,161956
1820,Cibolo,TX,264448,264575,264484,264884,265490,266644,267818,269364,271005
1821,Lapeer,MI,170697,171476,172207,172953,173371,173544,174048,174884,175324
1822,Terrell,TX,179147,180443,181005,181749,182611,184030,185868,187352,188763
1823,Leesburg,FL,183802,184520,185778,187311,188509,189017,189730,190742,192508
1824,Moss Point,MS,83723,84273,85049,85658,86448,87762,89311,91076,93006
1825,Porter,TX,231000,231975,232298,232423,232290,232443,232591,232733,233293
1826,Freeport,IL,68154,68478,68704,68917,69014,69171,69284,69428,69474
1827,Monterey,CA,824629,825119,826800,829065,835151,840672,848258,856569,868460
1828,Abingdon,MD,267503,268290,269046,270679,272218,273826,275597,277677,280008
1829,Woodridge,IL,276367,277154,277808,277832,277793,278261,279478,281480,283354
1830,Millcreek,UT,434899,436581,439036,441682,445645,449620,453283,457330,461560
1831,Ellensburg,WA,330372,331729,332917,333345,334182,335113,335705,336244,336727
1832,Front Royal,VA,252402,253497,254535,255419,255793,256195,256711,256945,256977
1833,Jamestown,NY,72596,73004,73387,73650,73900,74047,74204,74480,74992
1834,Westfield,NJ,754986,753357,754797,758470,762528,761985,760676,762374,765871
1835,Live Oak,FL,133048,133257,133339,133399,133733,134251,134687,134885,135126
1836,Benton,AR,200649,200662,201642,202868,204312,205816,207490,210060,213487
1837,Wailuku,HI,633646,636548,639669,641970,643157,644545,645624,647021,647644
1838,Wadsworth,OH,204581,205828,206882,207709,208764,209973,211563,213582,216170
1839,North Royalton,OH,222492,223618,224552,226395,227951,229791,231296,233884,237105
1840,Sidney,OH,127550,127797,128012,128202,128609,129088,129602,129924,130188
1841,North Andover,MA,542693,542138,543848,547426,552128,555191,557969,560640,563663
1842,Wheat Ridge,CO,458428,460886,463596,465923,469489,472496,476874,481975,487742
1843,Greater Upper Marlboro,MD,369475,370224,371805,373189,374751,376737,380313,383923,387984
1844,Tewksbury,MA,444069,445324,448627,451943,454785,456561,459872,465406,471250
1845,Ladson,SC,193496,194265,194820,195480,196216,197290,198562,200137,201612
1846,Ocean Springs,MS,168539,170486,171651,172365,172822,173484,174529,175704,177407
1847,Orange,NJ,260513,262228,264070,266367,270740,274771,277727,280901,284631
1848,Des Moines,WA,417118,420861,424970,428726,431577,435160,439380,445064,450535
1849,Laguna Hills,CA,753480,758157,762532,765306,766184,767593,770643,777416,783523
1850,Walnut,CA,770080,775261,780404,785199,786840,788413,794520,802724,811817
1851,Piedmont,SC,182567,183226,183391,183402,183779,184477,185319,186338,187754
1852,Madison Heights,MI,152508,153063,154468,155779,157052,157112,157513,158714,161174
1853,Needham,MA,1017220,1028773,1036376,1040545,1041080,1040516,1043967,1046136,1052182
1854,Cleveland,TX,140772,141173,141464,141681,142022,142358,142675,142929,143519
1855,Inverness,FL,138784,139667,141051,142322,143664,144797,146737,148647,150893
1856,Dodge City,KS,114462,114615,114657,114717,114830,114998,115201,115355,115210
1857,Marion,NC,125695,126224,126631,127031,127471,127763,128349,128753,129281
1858,Kyle,TX,225004,225067,225778,227184,229146,230963,232572,234164,235840
1859,Fremont,OH,116375,116451,116463,116528,116836,117089,117289,117256,117334
1860,Chicago Heights,IL,106113,106848,107718,108893,109998,110725,111747,113280,115828
1861,Westchester,FL,393550,396231,398853,400970,402953,404348,406975,410027,413768
1862,Rochester,NH,223142,223836,223523,223501,224284,226310,228943,231954,235216
1863,Warrenton,VA,446609,446673,448467,450860,455378,459273,463500,468704,475563
1864,Drexel Hill,PA,192880,194213,195618,197406,198782,200475,202587,204967,208312
1865,West Linn,OR,554841,556050,556530,558222,562344,566151,569585,573550,578239
1866,Midlothian,TX,317077,319250,321348,322881,324248,325245,325937,326867,328095
