,City,State,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19
66,Vancouver,WA,344374,343564,343574,344927,347031,348179,349290,350201,352382,353062,354616,356133
67,Corpus Christi,TX,158848,158479,158779,159099,159681,159592,159775,160395,161390,162372,163039,164116
68,Saint Louis,MO,124789,125404,125358,124964,124778,125028,124987,125022,125332,125696,126341,127092
69,Greensboro,NC,150936,151654,152251,152964,153790,154690,155646,156533,157461,158272,158983,159607
70,Lexington,KY,195624,197079,197686,198244,198827,199604,200170,201029,201403,202088,203054,204161
71,Fort Wayne,IN,134565,135536,136789,137962,138929,139487,140400,141391,142322,143035,143712,144517
72,Silver Spring,MD,422633,424317,423997,422912,423737,425631,426108,426170,425952,426829,428018,428782
73,Toledo,OH,70070,70206,70275,70402,70953,71537,72388,72857,73481,73797,74266,74663
74,Anchorage,AK,296931,301015,304988,312962,315814,318387,318474,320318,322544,323777,325559,327174
75,Saint Paul,MN,223208,223428,223056,222421,224172,225754,227819,228329,228871,229341,229695,230067
76,Naples,FL,331225,330745,330750,330811,330604,330117,330590,330924,330194,328826,327694,327965
77,Durham,NC,242356,243560,244537,245878,247142,248325,248742,249757,250728,251717,252377,253275
78,Tallahassee,FL,180399,180346,179848,180000,180520,181604,182129,182486,182601,183086,183248,183627
79,Stockton,CA,295662,294651,296399,296663,298377,300182,301778,303234,302866,302723,303045,304983
80,Plano,TX,349871,350283,349621,348740,348376,348061,347579,346993,347219,347073,346777,345991
81,Newark,NJ,268399,271721,274295,275754,275491,276532,280425,283703,285571,284942,286319,288328
82,Henderson,NV,331233,332316,331835,332012,333139,334481,334564,333200,331624,331651,332704,333449
83,Lincoln,NE,192154,193175,194241,195612,196377,197138,197183,197012,196683,196859,197623,198388
84,Modesto,CA,301009,301416,301430,303684,303869,305436,305058,306287,306527,308414,310308,311927
85,Reno,NV,382197,383573,384038,384042,385064,386508,386009,383981,383223,384736,386660,388107
86,Spokane,WA,230536,231745,232912,235059,237882,241802,244741,246387,247542,249384,251187,253276
87,Chandler,AZ,320206,321291,322181,322436,323638,325722,328332,330407,331830,333536,335628,338188
88,Lubbock,TX,142585,142910,142782,142959,143081,143704,144533,145097,145575,145463,145603,145993
89,Jersey City,NJ,507091,507330,508953,509828,511716,515532,518749,520799,520226,519248,519534,521315
90,Buffalo,NY,98939,99929,101442,102516,103905,104978,105697,106123,106147,106405,106914,107693
91,Mobile,AL,119511,119924,120585,121153,121523,122028,122562,123224,123543,124000,124471,125206
92,Hialeah,FL,285430,284884,285067,285566,285946,286791,287540,288208,288574,289078,289476,289874
93,San Bernardino,CA,280231,280999,282078,283077,285694,287615,288493,288601,288913,290338,291959,293702
94,Chula Vista,CA,508138,506146,505285,508080,510973,515007,518130,519536,519589,519665,521849,524799
95,Saint Petersburg,FL,196690,197108,197367,197801,199132,200350,201418,201765,202184,202491,203267,204094
96,Pensacola,FL,152375,152443,152197,152038,152455,153189,154351,155525,156423,156968,157360,157846
97,Lawrenceville,GA,222636,223757,224871,226417,227563,228293,229316,230208,230818,231091,231880,232882
98,Madison,WI,268197,269655,270202,270771,271148,272135,273152,274310,275062,276200,276956,278328
99,Winston-Salem,NC,140365,141316,142358,143712,144554,145365,145951,146664,147321,147962,148931,149884
100,Norfolk,VA,200822,201991,203123,203814,203717,203719,204431,205256,206151,206778,207009,207315
101,Glendale,AZ,231279,232492,233649,233947,234760,236147,238000,239917,241312,243009,244797,247125
102,Scottsdale,AZ,480135,481596,482756,482967,484425,486891,490190,492764,494425,496403,498992,502464
103,Fayetteville,NC,122017,122521,122931,123672,123977,124085,124031,124211,124306,124439,125023,125904
104,Boise,ID,303920,306329,308871,310269,312517,313961,316515,319476,322497,324929,326843,329466
105,Irvine,CA,899413,895620,892068,890434,892738,894091,897136,895651,897132,896088,895604,894813
106,Laredo,TX,177573,177774,178062,178250,178431,178370,178143,177943,178036,177967,177092,175564
107,Sarasota,FL,268094,269138,269488,269188,268774,269760,272052,272810,272633,271428,271698,272438
108,Chesapeake,VA,278173,278947,279650,280484,281338,281994,282685,283071,283693,284045,284062,284237
109,Fort Myers,FL,218817,218761,217837,218041,217141,217238,217841,218487,218566,218414,218635,218501
110,Garland,TX,203106,204470,205556,206162,206361,206403,206592,207211,208271,208634,208989,208689
111,Spring,TX,220373,221132,221345,221130,221394,222240,223173,223750,223637,223694,223924,224598
112,Gilbert,AZ,340264,341394,342295,342564,343834,345978,348775,351086,352601,354368,356411,359119
113,North Las Vegas,NV,263482,264915,265006,265549,266735,267977,268184,267299,266085,266020,266700,267184
114,Fremont,CA,1118887,1110211,1104403,1101263,1098674,1097619,1091990,1082041,1073964,1070783,1067834,1071183
115,Santa Clarita,CA,550805,548168,545944,545135,548046,552111,553176,553181,553224,555240,556354,558903
116,Fontana,CA,404682,405266,406020,406733,409491,411742,412463,412144,412051,413729,415673,417814
117,Irving,TX,236235,237754,238639,239323,239656,240173,240690,241809,243570,244604,245495,245377
118,Arlington,VA,687084,692759,697490,701263,704077,706793,708582,712923,717687,722363,725749,728916
119,Springfield,MO,138590,139366,140109,140641,141539,142487,143603,144075,144555,145183,146309,146970
120,Birmingham,AL,59796,60280,60699,60817,61219,62057,63155,63853,64229,64375,64732,65202
121,Greenville,SC,197237,197793,197852,198876,199806,201041,202109,202854,203286,203785,204102,204409
122,Santa Rosa,CA,585462,576377,571293,569748,573018,577643,579960,579617,576166,576584,576230,577546
123,Oxnard,CA,493502,493488,494871,497943,499557,500224,500733,501915,502802,504309,505261,507880
124,Richmond,VA,223843,223838,224923,225662,227593,228745,229726,230881,232095,233625,235326,237087
125,Des Moines,IA,144863,146053,147052,147676,147767,148379,148632,149022,148940,149144,149450,149774
126,Ocala,FL,144541,146021,147406,148259,148723,149057,149760,150507,151280,152135,152495,153315
127,Boca Raton,FL,334824,333937,333898,334664,336524,337850,338537,338707,337976,337864,338319,338961
128,Shreveport,LA,110539,109425,108548,108067,108009,107905,107999,108008,107879,107866,108064,108376
129,Woodbridge,VA,330907,333151,335200,337194,337532,338171,338814,340288,340358,340992,343369,345860
130,Rochester,NY,88744,89637,90398,91214,92207,93373,94185,94881,95548,96435,97445,98285
