,City,State,1/31/18,2/28/18,3/31/18,4/30/18,5/31/18,6/30/18,7/31/18,8/31/18,9/30/18,10/31/18,11/30/18,12/31/18
0,New York,NY,598182.0,602011.0,606129.0,610045.0,613190.0,616052.0,618337.0,620670,623400,625542,627733,629057
1,Los Angeles,CA,670959.0,676364.0,682403.0,687595.0,691332.0,694791.0,697835.0,699192,699614,700492,701171,700421
2,Houston,TX,173623.0,174120.0,174701.0,175669.0,176746.0,177725.0,178558.0,179543,180496,181183,181809,182548
3,Chicago,IL,261760.0,263098.0,263089.0,263173.0,263829.0,265011.0,265445.0,265726,266101,266700,267288,267608
4,San Antonio,TX,175263.0,175192.0,176151.0,177407.0,178760.0,179751.0,180688.0,181494,181682,182178,182403,183796
5,Philadelphia,PA,160250.0,162346.0,164733.0,166490.0,167857.0,168779.0,170071.0,171180,172465,173456,174877,176184
6,Phoenix,AZ,227288.0,229129.0,230715.0,232262.0,233835.0,235417.0,236853.0,237960,239109,239982,240536,241269
7,Las Vegas,NV,251765.0,255104.0,256936.0,259235.0,261815.0,265817.0,269671.0,273365,275605,276999,277176,278363
8,San Diego,CA,599818.0,606530.0,610653.0,610227.0,609614.0,611461.0,614598.0,617930,618637,619224,619449,619134
9,Dallas,TX,201348.0,204156.0,206657.0,208388.0,210316.0,212310.0,214279.0,216804,217618,219273,220066,222385
10,Austin,TX,363563.0,364449.0,365199.0,365402.0,366433.0,368428.0,370584.0,373181,373964,375644,375695,377041
11,San Jose,CA,952144.0,972799.0,992083.0,1006075.0,1024802.0,1040811.0,1056669.0,1053306,1043563,1032015,1023151,1009368
12,Jacksonville,FL,172111.0,172371.0,172469.0,173663.0,175591.0,177420.0,179406.0,180525,181538,182173,183290,184007
13,Indianapolis,IN,131144.0,131685.0,133135.0,135014.0,136543.0,137962.0,139395.0,140832,141640,142147,143148,145091
14,San Francisco,CA,1303252.0,1315431.0,1337639.0,1358315.0,1369637.0,1385053.0,1394638.0,1404954,1403196,1402665,1396781,1387344
15,Charlotte,NC,215000.0,217177.0,219030.0,220482.0,221826.0,223223.0,225137.0,226638,228163,228797,229966,230960
